#{"t_start": 1770190944.2627478, "env_id": "None"}
r,l,t
-99.27059,50,9.787286
-39.029125,50,9.787286
24.548956,50,9.787286
46.48249,50,9.787286
-87.36925,50,9.787286
34.474785,50,9.787286
28.677013,50,9.787286
-130.94939,50,9.787286
-11.352269,50,9.787286
-336.2958,50,9.787286
-114.45442,50,9.787286
-25.10547,50,9.787286
8.712148,50,9.787286
-36.21193,50,9.787286
15.64593,50,9.787286
-54.953243,50,10.030853
-4.4968166,50,10.030853
-76.81523,50,10.030853
-70.87543,50,10.030853
59.82517,50,10.030853
76.72924,50,10.030853
39.14935,50,10.030853
0.045698643,50,10.030853
46.479095,50,10.030853
-75.13568,50,10.030853
0.96995056,50,10.030853
8.0779915,50,10.030853
81.424545,50,10.030853
-28.482397,50,10.030853
-49.91488,50,10.030853
24.105545,50,10.030853
12.97148,50,10.280997
37.830765,50,10.280997
-22.14056,50,10.280997
186.749,50,10.280997
-19.812622,50,10.280997
-14.953644,50,10.280997
44.821068,50,10.280997
97.263,50,10.280997
-28.139547,50,10.280997
81.33691,50,10.280997
46.797176,50,10.280997
18.35211,50,10.280997
-0.11035365,50,10.280997
74.01364,50,10.280997
74.44831,50,10.280997
-3.3588958,50,10.280997
-9.51787,50,10.552161
-10.263365,50,10.552161
23.314041,50,10.552161
78.66678,50,10.552161
-21.546114,50,10.552161
-123.58016,50,10.552161
5.776605,50,10.552161
26.025673,50,10.552161
23.939777,50,10.552161
-76.359,50,10.552161
-0.9059334,50,10.552161
-221.0379,50,10.552161
54.641983,50,10.552161
-152.9576,50,10.552161
-113.59112,50,10.552161
172.0109,50,10.552161
-152.88371,50,10.807937
-12.0106735,50,10.807937
69.47478,50,10.807937
44.446453,50,10.807937
146.86949,50,10.807937
-161.88261,50,10.807937
-23.50972,50,10.807937
43.282776,50,10.807937
-38.458797,50,10.807937
78.249794,50,10.807937
-107.03725,50,10.807937
-32.487873,50,10.807937
-10.203198,50,10.807937
78.11811,50,10.807937
-14.635433,50,10.807937
-44.94462,50,10.807937
213.33315,50,11.044304
-39.342865,50,11.044304
158.20953,50,11.044304
10.666783,50,11.044304
-5.0145397,50,11.044304
-6.568718,50,11.044304
94.97415,50,11.044304
16.787033,50,11.044304
9.56059,50,11.044304
-56.667576,50,11.044304
98.409874,50,11.044304
-37.00253,50,11.044304
72.125946,50,11.044304
244.47105,50,11.044304
-27.11665,50,11.044304
90.94513,50,11.044304
135.233,50,11.460111
-4.6031876,50,11.460111
4.714028,50,11.460111
40.4816,50,11.460111
-24.924103,50,11.460111
-72.65749,50,11.460111
-73.15569,50,11.460111
95.626175,50,11.460111
11.418524,50,11.460111
94.49314,50,11.460111
-26.349728,50,11.460111
5.118391,50,11.460111
60.514843,50,11.460111
71.235535,50,11.460111
9.9240675,50,11.460111
-125.14964,50,11.460111
-25.235039,50,11.69992
8.665879,50,11.69992
64.24061,50,11.69992
-352.7064,50,11.69992
40.98178,50,11.69992
12.836101,50,11.69992
34.485252,50,11.69992
1.4721284,50,11.69992
-17.857655,50,11.69992
79.29593,50,11.69992
39.218357,50,11.69992
-122.03973,50,11.69992
116.70218,50,11.69992
-19.752737,50,11.69992
56.11741,50,11.69992
138.21638,50,11.69992
42.772877,50,11.934073
47.708355,50,11.934073
-4.1356277,50,11.934073
8.445824,50,11.934073
-81.2972,50,11.934073
75.4227,50,11.934073
-65.044556,50,11.934073
43.8528,50,11.934073
-99.31527,50,11.934073
-50.19695,50,11.934073
28.26012,50,11.934073
-401.339,50,11.934073
23.87304,50,11.934073
-239.05403,50,11.934073
-28.580872,50,11.934073
-49.571114,50,11.934073
5.3450003,50,12.199524
25.653269,50,12.199524
97.35482,50,12.199524
276.27612,50,12.199524
40.237057,50,12.199524
22.646706,50,12.199524
-59.084164,50,12.199524
-37.76338,50,12.199524
35.370693,50,12.199524
68.17951,50,12.199524
-65.80405,50,12.199524
-43.92257,50,12.199524
16.344994,50,12.199524
-118.634834,50,12.199524
105.12652,50,12.199524
25.97799,50,12.199524
-6.3778543,50,12.458922
62.8635,50,12.458922
10.909256,50,12.458922
-90.813545,50,12.458922
35.277115,50,12.458922
19.344805,50,12.458922
72.72227,50,12.458922
-109.929726,50,12.458922
43.84851,50,12.458922
-12.277255,50,12.458922
135.2884,50,12.458922
21.811472,50,12.458922
-76.75766,50,12.458922
-152.34126,50,12.458922
-7.220888,50,12.458922
27.107086,50,12.458922
150.25755,50,12.702805
76.44664,50,12.702805
105.54201,50,12.702805
90.28992,50,12.702805
145.1287,50,12.702805
73.98808,50,12.702805
226.38911,50,12.702805
21.956182,50,12.702805
45.162735,50,12.702805
124.72882,50,12.702805
-110.91934,50,12.702805
44.006084,50,12.702805
-87.4988,50,12.702805
-55.255264,50,12.702805
-95.262474,50,12.702805
27.36913,50,12.702805
2.38692,50,36.725119
-33.470802,50,36.725119
-56.73791,50,36.725119
-89.81114,50,36.725119
-23.499098,50,36.725119
-20.821692,50,36.725119
58.657063,50,36.725119
37.49338,50,36.725119
7.164253,50,36.725119
-136.87196,50,36.725119
46.85836,50,36.725119
43.109352,50,36.725119
45.383263,50,36.725119
25.836746,50,36.725119
80.10176,50,36.725119
26.670078,50,36.725119
25.921125,50,37.047922
27.214375,50,37.047922
54.600857,50,37.047922
-103.921585,50,37.047922
-42.36421,50,37.047922
35.093075,50,37.047922
11.833636,50,37.047922
181.91899,50,37.047922
119.05857,50,37.047922
63.69841,50,37.047922
48.483845,50,37.047922
7.078611,50,37.047922
14.322194,50,37.047922
-73.2513,50,37.047922
-320.9959,50,37.047922
-218.57147,50,37.047922
-113.852776,50,37.30717
51.56,50,37.30717
15.418274,50,37.30717
33.79126,50,37.30717
-80.749466,50,37.30717
11.664206,50,37.30717
48.761654,50,37.30717
-53.086525,50,37.30717
90.51493,50,37.30717
-83.00282,50,37.30717
62.617752,50,37.308171
23.200323,50,37.308171
3.0403652,50,37.308171
88.34496,50,37.308171
293.6749,50,37.308171
14.735846,50,37.308171
45.266552,50,37.563073
-29.053328,50,37.563073
74.73523,50,37.563073
36.03038,50,37.563073
19.320257,50,37.563073
2.4937458,50,37.563073
-32.640255,50,37.563073
60.600838,50,37.563073
64.54187,50,37.563073
-45.31144,50,37.563073
-4.794051,50,37.563073
39.225204,50,37.563073
62.36042,50,37.563073
-78.17163,50,37.563073
9.45996,50,37.563073
12.959168,50,37.563073
-75.398346,50,37.817954
67.7004,50,37.817954
7.76684,50,37.817954
45.3099,50,37.817954
143.67566,50,37.817954
1.2035308,50,37.817954
75.40901,50,37.817954
-35.138733,50,37.817954
-159.55655,50,37.817954
79.71088,50,37.817954
-30.508913,50,37.817954
-114.931366,50,37.817954
-24.508698,50,37.817954
-25.774086,50,37.817954
-9.114743,50,37.817954
17.419506,50,37.817954
-122.70216,50,38.067954
137.9609,50,38.067954
-28.759941,50,38.067954
19.099897,50,38.067954
93.06986,50,38.067954
-13.48862,50,38.067954
71.28235,50,38.067954
39.53859,50,38.067954
-50.355404,50,38.067954
-91.66438,50,38.067954
32.88712,50,38.067954
34.284107,50,38.067954
-20.940508,50,38.067954
72.48718,50,38.067954
-130.02678,50,38.067954
91.83245,50,38.067954
85.16272,50,38.319472
119.84853,50,38.319472
7.4868417,50,38.319472
87.48412,50,38.319472
18.787865,50,38.319472
17.181347,50,38.319472
40.009567,50,38.319472
215.52547,50,38.319472
-13.603912,50,38.319472
2.4996004,50,38.319472
126.39421,50,38.319472
16.117704,50,38.319472
-106.63255,50,38.319472
-31.226358,50,38.319472
47.050034,50,38.319472
-43.61964,50,38.319472
44.451023,50,38.727819
21.772873,50,38.727819
11.05732,50,38.727819
-93.21334,50,38.727819
-5.2499237,50,38.727819
47.754223,50,38.727819
40.44828,50,38.727819
-65.63724,50,38.727819
-74.88062,50,38.727819
89.17133,50,38.727819
-105.17244,50,38.727819
-68.02609,50,38.727819
103.654785,50,38.727819
50.969536,50,38.727819
-38.40911,50,38.727819
7.5616207,50,38.727819
82.55189,50,39.041825
18.961384,50,39.041825
79.880295,50,39.041825
64.14671,50,39.041825
-161.4635,50,39.041825
61.451706,50,39.041825
