#{"t_start": 1770189414.7087045, "env_id": "None"}
r,l,t
-6.7341166,50,26.929501
-5.461589,50,26.929501
2.6105385,50,26.929501
-12.175064,50,26.929501
1.0941993,50,26.929501
2.2460947,50,26.929501
6.4085813,50,27.261229
-4.5250196,50,27.261229
2.4718993,50,27.261229
-6.539603,50,27.261229
1.3644048,50,27.261229
-5.08074,50,27.261229
0.5406672,50,27.261229
-5.4592767,50,27.261229
-3.4724412,50,27.607617
-20.591656,50,27.607617
-30.01148,50,27.607617
0.6723692,50,27.607617
-2.5134337,50,27.607617
1.2080159,50,27.607617
5.4211807,50,27.607617
1.5382,50,27.607617
9.621801,50,27.958265
-6.2967887,50,27.958265
-12.479437,50,27.958265
-1.0066973,50,27.958265
-1.8686965,50,27.958265
-2.6314054,50,27.958265
1.7331057,50,27.958265
4.0345817,50,27.958265
1.877008,50,28.30185
5.2520146,50,28.30185
4.16271,50,28.30185
-0.38676226,50,28.30185
-17.168924,50,28.30185
4.365656,50,28.30185
-26.153955,50,28.30185
-6.931319,50,28.30185
9.375707,50,28.669646
-6.3164005,50,28.669646
5.7128725,50,28.669646
-1.5482165,50,28.669646
2.5244977,50,28.669646
-16.701694,50,28.669646
-8.772828,50,28.669646
-3.7135587,50,28.669646
-10.72915,50,29.031552
-2.39991,50,29.031552
-2.896863,50,29.031552
-1.5564744,50,29.031552
2.2808218,50,29.031552
3.5980358,50,29.031552
-1.4250649,50,29.031552
0.93970346,50,29.031552
1.6789365,50,29.40594
-7.693038,50,29.40594
-0.41118008,50,29.40594
1.575733,50,29.40594
2.1768594,50,29.40594
1.833498,50,29.40594
4.6185427,50,29.40594
2.4935646,50,29.40594
-9.673116,50,30.016798
-7.401286,50,30.016798
0.12212556,50,30.016798
-6.1648135,50,30.016798
-5.01565,50,30.016798
5.3033442,50,30.016798
9.671162,50,30.016798
0.60184216,50,30.016798
-5.24771,50,30.381978
7.45486,50,30.381978
2.5340335,50,30.381978
-3.1075125,50,30.381978
-5.5246005,50,30.381978
-0.43589726,50,30.381978
3.184576,50,30.381978
-5.7218256,50,30.381978
1.3172619,50,30.726377
-12.145681,50,30.726377
2.450309,50,30.726377
0.08020371,50,30.726377
1.1764162,50,30.726377
-20.06361,50,30.726377
4.5418987,50,30.726377
-0.8467475,50,30.726377
4.789107,50,31.079006
4.5250425,50,31.079006
11.462235,50,31.079006
-2.541081,50,31.079006
8.927156,50,31.079006
-2.037068,50,31.079006
4.4875145,50,31.079006
12.124265,50,31.079006
7.660787,50,31.432649
6.835861,50,31.432649
13.598336,50,31.432649
5.69409,50,31.432649
-14.254784,50,31.432649
2.6977096,50,31.432649
-8.867711,50,31.432649
-15.202652,50,31.432649
8.857083,50,31.777832
-0.03419465,50,31.778831
-1.939771,50,31.778831
-13.583922,50,31.778831
-6.7505574,50,31.778831
-3.1849155,50,31.778831
-5.2276325,50,31.778831
9.281193,50,31.778831
-4.0787835,50,32.146536
-4.591756,50,32.146536
-4.0475607,50,32.146536
